i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
28,3,"figure.plate","rulese5 similaritygated setfitappliedinterviewrejectedneeds-reviewin","in .04 .43 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",3762,447,3070.5,763.5,3467.5,296.8,743.9,3922.5,-166.2,4156.5,1,455,0.61,1086,3.05,3509.3,2778.8,3853.8
29,4,"p.kicker","¶ 05 · second station — 12:06","in .04 .22 x 7 | out .96 1.06 y -4",4477,19,3748.5,732.7,3867.5,612.2,631.2,4472.5,-1.3,4538.5,1,605,2.41,790,2.65,4010.3,3853.8,4928.8
30,4,"h2","Cadence.","in .06 .26 x 9 | out .96 1.06 y -4 | drift 22",4514,46,3804.5,718.3,3940.5,578.3,623.9,4535.5,-33.7,4604.5,1,595,2.39,800,2.67,4060.8,3853.8,4928.8
31,4,"p.bright","Plans, the way you’d say them out loud.","in .08 .29 x 7 | out .96 1.06 y -4 | drift 18",4577,26,3882.5,701.5,4021.5,559,585,4579.5,-12.5,4645.5,1,558,2.34,763,2.62,4113.8,3853.8,4928.8
32,4,"p.mutedln","Type a sentence; it becomes the event — attendees, Meet link and all","in .1 .31 x 6 | out .96 1.06 y -4 | drift 16",4611,57,3935.5,681,4080.5,533.5,590.5,4643.5,-41.5,4712.5,1,563,2.35,777,2.64,4163.3,3853.8,4928.8
33,4,"p.prov.mono","1,145 automated tests — 634 frontend + 511 backend 4-stage parse — c","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",4690,95,4018.5,707.4,4163.5,530.4,625.3,4663.5,20.4,4793.5,1,500,2.27,775,2.63,4261.3,3853.8,4928.8
34,4,"p.handoff","↳ the committed plan lands in the case file ↗ · source ↗ · live buil","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",4803,34,4040.5,789.3,4114.5,692.3,726.8,4766.5,30.8,4847.5,1,652,2.47,807,2.68,4343.8,3853.8,4928.8
35,4,"figure.plate","“lunch with Sam next Tuesday at noon, add a Meet.” motuwethfrsasu sa","in .04 .43 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",4863,395,4168.5,765.8,4548.5,316.9,712.2,4983.5,-126.1,5207.5,1,435,0.58,1039,2.99,4584.3,3853.8,4928.8
36,5,"p.kicker","¶ 06 · third station — 15:23","in .04 .22 x -7 | out .96 1.06 y -4",5493,19,4764.5,732.8,4883.5,612.3,631.3,5488.5,-1.2,5554.5,1,605,2.41,790,2.65,5026.3,4928.8,6003.8
37,5,"h2","Glyph.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",5530,46,4820.5,718.4,4956.5,578.4,624,5551.5,-33.6,5620.5,1,595,2.39,800,2.67,5076.8,4928.8,6003.8
38,5,"p.bright","No frameworks. Just math, memory, and C++.","in .08 .29 x -7 | out .96 1.06 y -4 | drift 18",5593,26,4898.5,701.6,5037.5,559.1,585.1,5595.5,-12.4,5661.5,1,558,2.34,763,2.62,5129.8,4928.8,6003.8
39,5,"p.mutedln","The network below is awake in this tab — 45.9 KB of WebAssembly, no ","in .1 .31 x -6 | out .96 1.06 y -4 | drift 16",5627,57,4951.5,681.1,5096.5,533.6,590.6,5659.5,-41.4,5728.5,1,563,2.35,777,2.64,5179.3,4928.8,6003.8
40,5,"p.prov.mono","97.01% on the 10,000-image mnist test set — 9,701/10,000 · macro-f1 ","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",5706,71,5031.5,710.5,5172.5,537.5,608.6,5658.5,41.5,5784.5,1,486,2.25,753,2.6,5265.3,4928.8,6003.8
41,5,"p.handoff","↳ your sample’s reader lands in the case file ↗ · source ↗ · live bu","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",5795,34,5032.5,789.7,5106.5,692.7,727.2,5758.5,31.2,5839.5,1,652,2.47,807,2.68,5335.8,4928.8,6003.8
42,5,"figure.plate","draw a digit 0–9— the run needs a sample ● awake · local clear input","in .04 .48 x 10 y 8 s .968 | out .76 .98 y -7 s .985 | drift 12",5855,537,5173.5,755.3,5653.5,203.8,741,6108.5,-258.8,6348.5,1,455,0.61,1175,3.17,5647.3,4928.8,6003.8
43,6,"p.kicker","¶ 07 · fourth station — 19:36","in .04 .22 x 7 | out .96 1.06 y -4",6526,19,5797.5,733.1,5916.5,612.6,631.6,6521.5,-0.9,6587.5,1,605,0.81,790,2.65,6059.3,6003.8,7127.8
44,6,"h2","jetpack-compress.","in .06 .26 x 9 | out .96 1.06 y -4 | drift 22",6563,46,5853.5,718.7,5989.5,578.7,624.3,6584.5,-33.3,6653.5,1,595,2.39,800,2.67,6109.8,6003.8,7127.8
45,6,"p.bright","One gzip stream, many virtual threads.","in .08 .29 x 7 | out .96 1.06 y -4 | drift 18",6626,26,5931.5,701.8,6070.5,559.3,585.3,6628.5,-12.2,6694.5,1,558,2.34,763,2.62,6162.8,6003.8,7127.8
46,6,"p.mutedln","The stream splits, the threads compress in parallel, and the lanes s","in .1 .31 x 6 | out .96 1.06 y -4 | drift 16",6660,57,5984.5,681.3,6129.5,533.8,590.8,6692.5,-41.2,6761.5,1,563,2.35,777,2.64,6212.3,6003.8,7127.8
47,6,"p.prov.mono","6.5× single-threaded java.util.zip — 455 vs 66 mb/s (99% ci bound; p","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",6739,95,6067.5,707.7,6212.5,530.7,625.6,6712.5,20.7,6842.5,1,500,2.27,775,2.63,6310.3,6003.8,7127.8
48,6,"div.gzrow","gzip a sample in this tab","in .05 .19 y 4 | out .88 1.02 y -4 | drift 12",6848,32,6126.5,757.5,6220.5,632.5,664.5,6795.5,47.5,6889.5,1,575,2.37,763,2.62,6387.8,6003.8,7127.8
49,6,"p.mono","browser gzip on this page’s own html — an illustration, not jetpack’","in .03 .12 y 3 | out .9 1.02 y -3 | drift 10",6888,18,6147.5,768.5,6206.5,686.5,705,6837.5,46,6916.5,1,631,2.44,769,2.63,6420.8,6003.8,7127.8
50,6,"p.handoff","↳ the member lands in the readme @ af2c4b1 ↗ · source ↗ · live build","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",6925,34,6162.5,789.6,6236.5,692.6,727,6888.5,31.1,6969.5,1,652,2.47,807,2.68,6465.8,6003.8,7127.8
51,6,"figure.plate","byte streamdeflateone gzip membervt-0vt-1vt-2vt-3member header ⟶ sti","in .04 .47 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",6985,573,6304.5,754.7,6787.5,199.6,773,7241.5,-261.9,7499.5,1,454,0.61,1195,3.19,6795.3,6003.8,7127.8
52,7,"p.kicker","¶ 08 · the honest hour — 21:07","in .05 .28 y 4 | out .48 .58 y 4",7651,19,6897.5,787.7,6994.5,660.2,679.2,,,,1,,,6260.5,14.75,7184.3,7128.8,9374.8
53,7,"h2.prose-h","LifeQuest. A prototype, told honestly.","in .07 .32 y 5 | out .48 .58 y 4 | drift 14",7688,43,6934.5,796.8,7031.5,661.3,704.7,,,,1,,,6223.5,14.7,7233.3,7128.8,9374.8
54,7,"p.mutedln","Job-seeking turned into missions so momentum survives the grind — a ","in .1 .36 y 5 | out .48 .58 y 4 | drift 12",7741,114,6988.5,795.3,7101.5,643.8,757.8,,,,1,,,6169.5,14.63,7321.8,7128.8,9374.8
55,7,"div.quests","01—mission card — playable… 02—tier ladder — working… 03—full-stack ","in .12 .38 y 6 | out .48 .58 y 4 | drift 10",7887,221,7208.5,726.8,7350.5,539.3,760.7,,,,1,,,5949.5,14.33,7521.3,7128.8,9374.8
56,7,"p.handoff","↳ no case file — a prototype has nothing to argue yet · source ↗ · l","in .14 .4 y 3 | out .48 .58 y 4",8126,34,7372.5,779.8,7469.5,659.3,693.7,,,,1,,,5785.5,14.11,7666.8,7128.8,9374.8
57,7,"p.mono","dusk. the light is the record: what shipped is lit, what didn’t stay","in .84 .95 y 4 | out 2 2.5 | drift 0",9188,21,8815.5,402.1,8918.5,269.6,290.2,,,,1,,,4342.5,10.59,8722.3,7128.8,9374.8
58,7,"figure.plate.bare","mission card✓tier ladder✓backend✓scaleheldfinishedheld fig. 08 — the","in .08 .34 y 8 | out .48 .58 y 4 | drift 12",9234,571,8905.5,390.8,9047.5,188.3,758.8,9352.5,-120.2,9507.5,1,305,0.41,602,0.8,9043.3,7128.8,9374.8
59,8,"p.kicker","¶ 09 · last station — 22:05","in .04 .22 x 7 | out .96 1.06 y -4",9896,19,9167.5,733,9286.5,612.5,631.5,9891.5,-1,9957.5,1,605,0.81,790,2.65,9429.3,9373.8,10501.8
60,8,"h2","Agentic AutoML.","in .06 .26 x 9 | out .96 1.06 y -4 | drift 22",9933,46,9223.5,718.6,9359.5,578.6,624.2,9954.5,-33.4,10023.5,1,595,2.39,800,2.67,9479.8,9373.8,10501.8
61,8,"p.bright","It runs the whole lifecycle — and refuses to finish alone.","in .08 .29 x 7 | out .96 1.06 y -4 | drift 18",9996,26,9301.5,701.8,9440.5,559.3,585.3,9998.5,-12.2,10064.5,1,558,2.34,763,2.62,9532.8,9373.8,10501.8
62,8,"p.mutedln","The senior-design flagship: a LangGraph agent that works a notebook ","in .1 .31 x 6 | out .96 1.06 y -4 | drift 16",10030,114,9361.5,674.3,9516.5,516.8,630.8,10117.5,-96.2,10191.5,1,601,2.4,830,2.71,9610.8,9373.8,10501.8
63,8,"p.prov.mono","seven phases mirror the ml lifecycle · a human gate at every step 12","in .1 .3 y 4 | out .84 1.02 y -4 | drift 14",10166,95,9494.5,707.7,9639.5,530.7,625.5,10139.5,20.7,10269.5,1,500,2.27,775,2.63,9737.3,9373.8,10501.8
64,8,"p.mono","no accuracy figure is quoted here because none is claimed — the work","in .03 .12 y 3 | out .9 1.02 y -3 | drift 10",10269,74,9530.5,766,9594.5,679,753,10269.5,-5.5,10353.5,1,675,2.5,823,2.7,9829.8,9373.8,10501.8
65,8,"p.handoff","↳ the halted run lands in the case file ↗ · the repo, public — gpl-3","in .0 .11 y 3 | out .9 1.02 y -3 | drift 10",10361,34,9598.5,789.6,9672.5,692.6,727,10324.5,31.1,10405.5,1,652,2.47,807,2.68,9901.8,9373.8,10501.8
66,8,"figure.plate","langgraph supervisoragentic core · gpt-5.4mcp registry ×12list_proje","in .04 .46 x -10 y 8 s .968 | out .74 .96 y -7 s .985 | drift 12",10421,511,9735.5,758.7,10185.5,238.1,749,10628.5,-212.9,10864.5,1,443,0.59,1129,3.11,10200.3,9373.8,10501.8
67,9,"p.kicker","¶ 10 · the review — 22:23","in .04 .22 x -7 | out .96 1.06 y -4",11113,19,10384.5,733,10503.5,612.5,631.5,11108.5,-1,11174.5,1,605,2.41,790,2.65,10646.3,10501.8,11576.8
68,9,"h2","How I work.","in .06 .26 x -9 | out .96 1.06 y -4 | drift 22",11150,46,10440.5,718.6,10576.5,578.6,624.2,11171.5,-33.4,11240.5,1,595,2.39,800,2.67,10696.8,10501.8,11576.8
69,9,"p.mutedln","The run is nearly in. Before the gate, the discipline that drove it ","in .08 .29 x -6 | out .96 1.06 y -4 | drift 16",11203,57,10511.5,698.2,10656.5,550.2,607.2,11235.5,-40.8,11304.5,1,579,2.37,793,2.66,10755.3,10501.8,11576.8
70,9,"div.litany","Make it learn. 271 backend tests — jobtracker validation ledger ↗ Ma","in .09 .28 y 5 | drift 14",11286,240,10620.5,708.8,10780.5,509.8,749.9,11307.5,-26.7,11492.5,1,527,2.3,872,2.76,10929.8,10501.8,11576.8
71,9,"figure.plate","the reviewer’s marksthree real gates · dispositions honest classifie","in .04 .44 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",11551,366,10855.5,767.5,11234.5,320,685.8,11649.5,-103,11867.5,1,415,0.55,1012,2.95,11257.8,10501.8,11576.8
72,10,"p.kicker","¶ 11 · the approval gate — 22:41","in .04 .26 y 4 | out 2 2.5 | drift 0",12114,19,11387.5,757.2,11532.5,582.7,601.7,,,,1,,,1770.5,3.96,11647.3,11576.8,13142.8
73,10,"h2","Every pipeline I build ends with a human decision.","in .06 .3 y 5 | out 2 2.5 | drift 0",12151,97,11447.5,741.3,11620.5,531.3,628.6,,,,1,,,1710.5,3.88,11723.3,11576.8,13142.8
74,10,"p.mutedln","This one ends with yours.","in .09 .34 y 5 | out 2 2.5 | drift 0",12259,30,11574.5,722.8,11741.5,518.8,549.2,,,,1,,,1583.5,3.71,11797.8,11576.8,13142.8
75,10,"ul.ladder","06:12 · the start 06:58 · who 07:52 · the yard 08:47 · applied 12:06","in .12 .4 y 6 | out 2 2.5 | drift 0",12321,374,11708.5,658.7,11976.5,346.7,720.5,,,,1,,,1449.5,3.53,12031.8,11576.8,13142.8
76,10,"p.mono","the run token you have been following halts here. it will wait as lo","in .2 .48 y 4 | out 2 2.5 | drift 0",12721,62,12132.5,619.1,12327.5,394.6,456.3,,,,1,,,1025.5,2.97,12275.8,11576.8,13142.8
77,10,"div.gatecard","run 042 — the manifest, complete. one day · eleven stops · six stati","in .1 .4 y 10 s .975 | out 2 2.5 | drift 0",12815,454,12190.5,706,12497.5,319.8,774,,,,1,,,967.5,2.89,12565.8,11576.8,13142.8
78,10,"footer","end of scroll, not of story · © 2026 ayush yadav — cincinnati, oh · ","in .06 .24 y 5 | out 2 2.5 | drift 0",13361,196,12661.5,737.6,12806.5,555.6,751.9,,,,1,,,496.5,0.66,12982.8,11576.8,13142.8
