i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
11,1,"div.dict","ap·prov·alapproval / əˈpruː·vəl / · noun 1. the moment a human signs","in .19 .48 y 4 | drift 12",1661,123,972.5,727.3,1221.5,440.8,563.4,1561.5,94.8,1750.5,1,340,0.45,778,2.64,1164.5,504,1566
12,1,"p.nb","n.b. — every station on this line hands its output to a case file, s","in .21 .5 y 3 | drift 10",1804,98,1130.5,703.2,1373.5,431.7,529.8,1685.5,114.7,1869.5,1,312,0.42,739,0.99,1295,504,1566
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .34 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",1399,388,573.5,907.3,896.5,506.5,894.5,1482.5,-89,1730.5,1,586,2.38,1157,3.14,1035,504,1566
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .05 .28 x 7",2405,19,1563.5,845.9,1740.5,666.9,685.9,2224.5,176.4,2393.5,1,484,0.65,830,2.71,1856.5,1566,2988
15,2,"h2","The path.","in .07 .32 x 9 | drift 22",2442,58,1623.5,827,1823.5,622.5,680.2,2291.5,142.5,2468.5,1,468,2.22,845,2.73,1913,1566,2988
16,2,"p.bright","Five years of query logs. Zero structure.","in .1 .36 x 7 | drift 18",2517,33,1724.5,799.3,1927.5,592.3,625.5,2347.5,163.3,2519.5,1,420,2.16,795,2.66,1975.5,1566,2988
17,2,"p.mutedln","The job before this run: teach the records shape. It’s where I learn","in .13 .4 x 6 | drift 16",2558,57,1797.5,766,2014.5,545.5,602.5,2407.5,145,2583.5,1,393,2.12,786,2.65,2028.5,1566,2988
18,2,"p.prov.mono","itsm data integration intern — miami university · jun 2025 – may 202","in .16 .44 y 4 | drift 14",2638,261,1942.5,734.9,2215.5,424.4,685.3,2646.5,-14.1,2860.5,1,431,2.17,918,2.82,2210.5,1566,2988
19,2,"p.handoff","↳ the freight has papers — the inventory’s case file ↗","in .19 .48 y 3 | drift 10",2916,34,2209.5,735.9,2436.5,480.9,515.4,2747.5,164.4,2919.5,1,311,0.41,710,2.55,2375,1566,2988
20,2,"figure.plate","the freight1.6m+ oas query logs5 yrs · 1,153 usersfield-usage tables","in .04 .34 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",2456,444,1633.5,905.2,1971.5,488.5,932.8,2582.5,-132,2841.5,1,611,2.41,1208,3.21,2120,1566,2988
21,2,"div.schoolrec","the school record — filed with the runmiami university · oxford, oh ","in .3 .52 y 6 | out .8 .98 y -5 | drift 10",2996,269,2461.5,589.4,2677.5,319.4,588.1,3053.5,-62.6,3229.5,1,376,0.5,768,1.02,2572.5,1566,2988
22,3,"p.kicker","¶ 04 · first station — 08:47","in .05 .28 x -7",3857,19,3015.5,845.2,3192.5,666.2,685.2,3676.5,175.7,3845.5,1,484,2.25,830,2.71,3308.5,2988,4140
23,3,"h2","Applied.","in .07 .32 x -9 | drift 22",3894,58,3075.5,826.3,3275.5,621.8,679.5,3743.5,141.8,3920.5,1,468,2.22,845,2.73,3365,2988,4140
24,3,"p.bright","Your inbox already knows where you applied.","in .1 .36 x -7 | drift 18",3969,67,3180.5,794.6,3391.5,579.6,646.1,3825.5,136.6,4004.5,1,434,2.18,824,2.7,3444.5,2988,4140
25,3,"p.mutedln","Applied reads it — on a device you control, and defers to you when i","in .13 .4 x -6 | drift 16",4043,57,3282.5,765.6,3499.5,545.1,602.1,3892.5,144.6,4068.5,1,393,2.12,786,2.65,3513.5,2988,4140
26,3,"p.prov.mono","201 regex rules ⟶ e5 embeddings ⟶ fine-tuned setfit macro-f1 0.9791 ","in .16 .44 y 4 | drift 14",4123,190,3415.5,746.5,3670.5,454,643.7,4076.5,40.5,4277.5,1,406,0.54,862,2.75,3660,2988,4140
27,3,"p.handoff","↳ the sorted mail lands in the case file ↗ · source ↗ · live build ↗","in .19 .48 y 3 | drift 10",4330,57,3628.5,730.3,3860.5,470.3,527.8,4179.5,145.8,4355.5,1,319,0.43,727,0.97,3800.5,2988,4140
28,3,"figure.plate","rulese5 similaritygated setfitappliedinterviewrejectedneeds-reviewin","in .04 .34 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",3900,444,3077.5,905,3415.5,488.3,932.6,4026.5,-132.2,4285.5,1,611,2.41,1208,3.21,3564,2988,4140
29,4,"p.kicker","¶ 05 · second station — 12:06","in .05 .28 x 7",5013,19,4171.5,846,4348.5,667,686,4832.5,176.5,5001.5,1,484,2.25,830,2.71,4464.5,4140,5292
30,4,"h2","Cadence.","in .07 .32 x 9 | drift 22",5050,58,4231.5,827.1,4431.5,622.6,680.2,4899.5,142.6,5076.5,1,468,2.22,845,2.73,4521,4140,5292
31,4,"p.bright","Plans, the way you’d say them out loud.","in .1 .36 x 7 | drift 18",5125,33,4332.5,799.3,4535.5,592.3,625.6,4955.5,163.3,5127.5,1,420,2.16,795,2.66,4583.5,4140,5292
32,4,"p.mutedln","Type a sentence; it becomes the event — attendees, Meet link and all","in .13 .4 x 6 | drift 16",5166,57,4405.5,766.1,4622.5,545.6,602.6,5015.5,145.1,5191.5,1,393,2.12,786,2.65,4636.5,4140,5292
33,4,"p.prov.mono","1,145 automated tests — 634 frontend + 511 backend 4-stage parse — c","in .16 .44 y 4 | drift 14",5246,213,4542.5,743,4803.5,444.5,658,5217.5,23,5422.5,1,414,0.55,880,2.77,4794.5,4140,5292
34,4,"p.handoff","↳ the committed plan lands in the case file ↗ · source ↗ · live buil","in .19 .48 y 3 | drift 10",5477,57,4775.5,730.5,5007.5,470.5,528,5326.5,146,5502.5,1,319,0.43,727,0.97,4947.5,4140,5292
35,4,"figure.plate","“lunch with Sam next Tuesday at noon, add a Meet.” motuwethfrsasu sa","in .04 .34 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",5071,406,4246.5,906.8,4574.5,500.7,906.3,5168.5,-102.8,5420.5,1,594,2.39,1174,3.17,4716,4140,5292
36,5,"p.kicker","¶ 06 · third station — 15:23","in .05 .28 x -7",6275,19,5433.5,844.9,5610.5,665.9,684.9,6094.5,175.4,6263.5,1,484,2.25,830,2.71,5726.5,5292,6624
37,5,"h2","Glyph.","in .07 .32 x -9 | drift 22",6312,58,5493.5,826,5693.5,621.5,679.2,6161.5,141.5,6338.5,1,468,2.22,845,2.73,5783,5292,6624
38,5,"p.bright","No frameworks. Just math, memory, and C++.","in .1 .36 x -7 | drift 18",6387,67,5598.5,794.3,5809.5,579.3,645.8,6243.5,136.3,6422.5,1,434,2.18,824,2.7,5862.5,5292,6624
39,5,"p.mutedln","The network below is awake in this tab — 45.9 KB of WebAssembly, no ","in .13 .4 x -6 | drift 16",6461,57,5700.5,765.3,5917.5,544.8,601.8,6310.5,144.3,6486.5,1,393,2.12,786,2.65,5931.5,5292,6624
40,5,"p.prov.mono","97.01% on the 10,000-image mnist test set — 9,701/10,000 · macro-f1 ","in .16 .44 y 4 | drift 14",6541,142,5824.5,755.2,6069.5,472.7,615,6456.5,78.2,6648.5,1,387,0.52,824,2.7,6054,5292,6624
41,5,"p.handoff","↳ your sample’s reader lands in the case file ↗ · source ↗ · live bu","in .19 .48 y 3 | drift 10",6701,57,5999.5,729.6,6231.5,469.6,527,6550.5,145.1,6726.5,1,319,0.43,727,0.97,6171.5,5292,6624
42,5,"figure.plate","draw a digit 0–9— the run needs a sample ● awake · local clear input","in .04 .34 x 10 y 8 s .968 | out .76 .98 y -7 s .985 | drift 12",6250,533,5432.5,901,5792.5,461,994,6471.5,-228,6735.5,1,679,2.51,1303,3.34,5958.5,5292,6624
43,6,"p.kicker","¶ 07 · fourth station — 19:36","in .05 .28 x 7",7452,19,6610.5,845.3,6787.5,666.3,685.3,7271.5,175.8,7440.5,1,484,2.25,830,2.71,6903.5,6624,7776
44,6,"h2","jetpack-compress.","in .07 .32 x 9 | drift 22",7489,58,6670.5,826.4,6870.5,621.9,679.6,7338.5,141.9,7515.5,1,468,2.22,845,2.73,6960,6624,7776
45,6,"p.bright","One gzip stream, many virtual threads.","in .1 .36 x 7 | drift 18",7564,33,6771.5,798.7,6974.5,591.7,624.9,7394.5,162.7,7566.5,1,420,2.16,795,2.66,7022.5,6624,7776
46,6,"p.mutedln","The stream splits, the threads compress in parallel, and the lanes s","in .13 .4 x 6 | drift 16",7605,57,6844.5,765.4,7061.5,544.9,601.9,7454.5,144.4,7630.5,1,393,2.12,786,2.65,7075.5,6624,7776
47,6,"p.prov.mono","6.5× single-threaded java.util.zip — 455 vs 66 mb/s (99% ci bound; p","in .16 .44 y 4 | drift 14",7685,213,6981.5,742.3,7242.5,443.8,657.3,7656.5,22.3,7861.5,1,414,0.55,880,2.77,7233.5,6624,7776
48,6,"div.gzrow","gzip a sample in this tab","in .19 .48 y 4 | drift 12",7912,32,7205.5,745.2,7431.5,481.7,513.7,7741.5,165.7,7913.5,1,310,0.41,708,0.94,7370,6624,7776
49,6,"p.mono","browser gzip on this page’s own html — an illustration, not jetpack’","in .2 .5 y 3 | drift 10",7952,37,7255.5,725.7,7491.5,461.2,498.1,7785.5,162.2,7958.5,1,294,0.39,703,0.94,7412.5,6624,7776
50,6,"p.handoff","↳ the member lands in the readme @ af2c4b1 ↗ · source ↗ · live build","in .21 .52 y 3 | drift 10",8007,57,7325.5,710.2,7573.5,433.7,491.2,7856.5,145.7,8032.5,1,283,0.38,707,0.94,7477.5,6624,7776
51,6,"figure.plate","byte streamdeflateone gzip membervt-0vt-1vt-2vt-3member header ⟶ sti","in .04 .34 x -10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",7472,572,6656.5,900.2,7026.5,449.6,1021.4,7696.5,-229.9,7979.5,1,670,2.49,1323,3.36,7200,6624,7776
52,7,"p.kicker","¶ 08 · the honest hour — 21:07","in .05 .28 y 4 | out .48 .58 y 4",8565,19,7723.5,881.5,7900.5,668,687,8162.5,403,8388.5,1,262,0.35,665,2.49,8016.5,7776,8928
53,7,"h2.prose-h","LifeQuest. A prototype, told honestly.","in .07 .32 y 5 | out .48 .58 y 4 | drift 14",8602,105,7787.5,864.6,7997.5,608.1,713.2,8162.5,440.6,8388.5,1,165,0.22,601,2.4,8096.5,7776,8928
54,7,"p.mutedln","Job-seeking turned into missions so momentum survives the grind — a ","in .1 .36 y 5 | out .48 .58 y 4 | drift 12",8716,143,7936.5,828.8,,,,,,8388.5,0.94,,,452,2.2,8229.5,7776,8928
55,7,"div.quests","01—mission card — playable… 02—tier ladder — working… 03—full-stack ","in .12 .38 y 6 | out .48 .58 y 4 | drift 10",8891,221,8142.5,805.3,,,,,,8388.5,0.24,,,246,1.93,8443.5,7776,8928
56,7,"p.handoff","↳ no case file — a prototype has nothing to argue yet · source ↗ · l","in .14 .4 y 3 | out .48 .58 y 4",9130,57,,,,,,,,,0,,,,,8600.5,7776,8928
57,7,"p.mono","dusk. the light is the record: what shipped is lit, what didn’t stay","in .84 .95 y 4 | out 2 2.5 | drift 0",9213,41,8798.5,449.8,8933.5,280.3,321.5,,,,1,,,3207.5,9.08,8675.5,7776,8928
58,7,"figure.plate.bare","mission card✓tier ladder✓backend✓scaleheldfinishedheld fig. 08 — the","in .08 .34 y 8 | out .48 .58 y 4 | drift 12",8565,595,7807.5,833.5,8133.5,436,1030.7,8160.5,407.5,8388.5,0.98,27,0.04,581,2.37,8304.5,7776,8928
59,8,"p.kicker","¶ 09 · last station — 22:05","in .05 .28 x 7",9740,19,8898.5,845,9075.5,666,685,9559.5,175.5,9728.5,1,484,2.25,830,2.71,9191.5,8928,10152
60,8,"h2","Agentic AutoML.","in .07 .32 x 9 | drift 22",9777,58,8958.5,826.1,9158.5,621.6,679.3,9626.5,141.6,9803.5,1,468,2.22,845,2.73,9248,8928,10152
61,8,"p.bright","It runs the whole lifecycle — and refuses to finish alone.","in .1 .36 x 7 | drift 18",9852,67,9063.5,794.4,9274.5,579.4,645.9,9708.5,136.4,9887.5,1,434,2.18,824,2.7,9327.5,8928,10152
62,8,"p.mutedln","The senior-design flagship: a LangGraph agent that works a notebook ","in .13 .4 x 6 | drift 16",9926,114,9173.5,757.4,9403.5,523.9,637.9,9819.5,100.4,10006.5,1,416,2.15,833,2.71,9425,8928,10152
63,8,"p.prov.mono","seven phases mirror the ml lifecycle · a human gate at every step 12","in .16 .44 y 4 | drift 14",10063,237,9363.5,738.3,9630.5,433.8,671,10053.5,3.3,10262.5,1,423,0.56,899,2.8,9623.5,8928,10152
64,8,"p.mono","no accuracy figure is quoted here because none is claimed — the work","in .19 .48 y 3 | drift 10",10308,74,9609.5,727,9846.5,462,535.9,10170.5,132.5,10349.5,1,324,0.43,740,0.99,9787,8928,10152
65,8,"p.handoff","↳ the halted run lands in the case file ↗ · the repo, public — gpl-3","in .21 .52 y 3 | drift 10",10399,57,9717.5,710.5,9965.5,434,491.5,10248.5,146,10424.5,1,283,0.38,707,0.94,9869.5,8928,10152
66,8,"figure.plate","langgraph supervisoragentic core · gpt-5.4mcp registry ×12list_proje","in .04 .34 x -10 y 8 s .968 | out .74 .96 y -7 s .985 | drift 12",9845,506,9026.5,901.9,9379.5,469.3,975.7,10017.5,-178.2,10276.5,1,638,2.45,1250,3.27,9540,8928,10152
67,9,"p.kicker","¶ 10 · the review — 22:23","in .05 .28 x -7",11053,19,10211.5,845,10388.5,666,685,10872.5,175.5,11041.5,1,484,2.25,830,2.71,10504.5,10152,11286
68,9,"h2","How I work.","in .07 .32 x -9 | drift 22",11090,58,10271.5,826.1,10471.5,621.6,679.3,10939.5,141.6,11116.5,1,468,2.22,845,2.73,10561,10152,11286
69,9,"p.mutedln","The run is nearly in. Before the gate, the discipline that drove it ","in .1 .36 x -6 | drift 16",11155,57,10365.5,794.8,10573.5,583.3,640.3,11004.5,144.3,11180.5,1,431,2.17,815,2.69,10625.5,10152,11286
70,9,"div.litany","Make it learn. 271 backend tests — jobtracker validation ledger ↗ Ma","in .13 .4 y 5 | drift 14",11238,264,10507.5,778.9,10771.5,468.4,732.5,11249.5,-17.6,11463.5,1,478,0.64,956,2.87,10812,10152,11286
71,9,"figure.plate","the reviewer’s marksthree real gates · dispositions honest classifie","in .04 .34 x 10 y 8 s .968 | out .74 .97 y -7 s .985 | drift 12",11089,376,10262.5,908.1,10583.5,509.5,885.5,11163.5,-80,11409.5,1,580,2.37,1147,3.13,10719,10152,11286
72,10,"p.kicker","¶ 11 · the approval gate — 22:41","in .04 .26 y 4 | out 2 2.5 | drift 0",11989,19,11137.5,886.6,11306.5,683.1,702.1,,,,1,,,868.5,2.76,11440.5,11286,12348
73,10,"h2","Every pipeline I build ends with a human decision.","in .06 .3 y 5 | out 2 2.5 | drift 0",12026,181,11206.5,863.2,11423.5,603.2,784.6,,,,1,,,799.5,2.67,11558.5,11286,12348
74,10,"p.mutedln","This one ends with yours.","in .09 .34 y 5 | out 2 2.5 | drift 0",12218,30,11415.5,846.8,11610.5,608.8,639.1,,,,1,,,590.5,2.39,11675,11286,12348
75,10,"ul.ladder","06:12 · the start 06:58 · who 07:52 · the yard 08:47 · applied 12:06","in .12 .4 y 6 | out 2 2.5 | drift 0",12281,374,11554.5,779.1,11853.5,428.1,801.9,,,,1,,,451.5,2.2,11910,11286,12348
76,10,"p.mono","the run token you have been following halts here. it will wait as lo","in .2 .48 y 4 | out 2 2.5 | drift 0",12680,62,11988.5,726.5,,,,,,,0.04,,,17.5,0.02,12153,11286,12348
77,10,"div.gatecard","run 042 — the manifest, complete. one day · eleven stops · six stati","in .1 .4 y 10 s .975 | out 2 2.5 | drift 0",11989,468,11249.5,833.9,11593.5,397.6,865.1,,,,1,,,756.5,2.61,11665,11286,12348
78,10,"footer","end of scroll, not of story · © 2026 ayush yadav — cincinnati, oh · ","in .06 .24 y 5 | out 2 2.5 | drift 0",12565,196,11742.5,866.1,11907.5,658.1,854.4,,,,1,,,263.5,1.95,12105,11286,12348
