i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
13,1,"figure.plate","engineer of recordfiled 06:58 Ayush Yadav signs the line before you ","in .04 .44 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",1557,369,852.5,763.7,1103.5,456.7,826.2,1765.5,-213.9,1936.5,1,662,0.88,1084,3.05,1265.3,429.8,1504.8
14,2,"p.kicker","¶ 03 · the yard — 07:52","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",2027,19,1298.5,720.4,1417.5,611.5,630.5,2022.5,0.5,2088.5,1,605,0.81,790,1.05,1560.3,1504.8,2778.8
15,2,"h2","The path.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",2064,46,1354.5,718.6,1490.5,578.6,624.2,2085.5,-33.4,2154.5,1,595,0.79,800,2.67,1610.8,1504.8,2778.8
16,2,"p.bright","Five years of query logs. Zero structure.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",2127,26,1432.5,701.8,1571.5,559.3,585.3,2129.5,-12.2,2195.5,1,558,0.74,763,2.62,1663.8,1504.8,2778.8
17,2,"p.mutedln","The job before this run: teach the records shape. It’s where I learn","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",2161,57,1485.5,681.3,1630.5,533.8,590.8,2193.5,-41.2,2262.5,1,563,2.35,777,2.64,1713.3,1504.8,2778.8
18,2,"p.prov.mono","itsm data integration intern — miami university · jun 2025 – may 202","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",2240,95,1566.5,675.2,1682.5,559.7,654.5,2213.5,22.7,2343.5,1,531,2.31,777,2.64,1811.3,1504.8,2778.8
19,2,"p.handoff","↳ the freight has papers — the inventory’s case file ↗","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",2353,34,1590.5,764.5,1664.5,690.6,725.1,2316.5,33.1,2397.5,1,652,2.47,807,2.68,1893.8,1504.8,2778.8
20,2,"figure.plate","the freight1.6m+ oas query logs5 yrs · 1,153 usersfield-usage tables","in .04 .45 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",2413,447,1711.5,763.3,1959.5,456.7,903.9,2688.5,-280.8,2871.5,1,729,2.57,1160,3.15,2160.3,1504.8,2778.8
21,2,"div.schoolrec","the school record — filed with the runmiami university · oxford, oh ","in .0 .25 y 6 s .97 | out .92 1.04 y -5 s .985 | drift 10",2898,310,2145.5,807.9,2371.5,530.7,840.8,3135.5,-242.8,3243.5,1,764,1.02,1098,1.46,2576.8,1504.8,2778.8
22,3,"p.kicker","¶ 04 · first station — 08:47","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",3376,19,2647.5,720,2766.5,611.1,630.1,3371.5,0.1,3437.5,1,605,2.41,790,2.65,2909.3,2778.8,3853.8
23,3,"h2","Applied.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",3413,46,2703.5,718.2,2839.5,578.2,623.8,3434.5,-33.8,3503.5,1,595,2.39,800,2.67,2959.8,2778.8,3853.8
24,3,"p.bright","Your inbox already knows where you applied.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",3476,26,2781.5,701.4,2920.5,558.9,584.9,3478.5,-12.6,3544.5,1,558,2.34,763,2.62,3012.8,2778.8,3853.8
25,3,"p.mutedln","Applied reads it — on a device you control, and defers to you when i","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",3510,57,2834.5,680.9,2979.5,533.4,590.4,3542.5,-41.6,3611.5,1,563,2.35,777,2.64,3062.3,2778.8,3853.8
26,3,"p.prov.mono","201 regex rules ⟶ e5 embeddings ⟶ fine-tuned setfit macro-f1 0.9791 ","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",3589,95,2915.5,674.9,3031.5,559.3,654.2,3562.5,22.3,3692.5,1,531,2.31,777,2.64,3160.3,2778.8,3853.8
27,3,"p.handoff","↳ the sorted mail lands in the case file ↗ · source ↗ · live build ↗","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",3702,34,2939.5,764.1,3013.5,690.3,724.7,3665.5,32.8,3746.5,1,652,2.47,807,2.68,3242.8,2778.8,3853.8
28,3,"figure.plate","rulese5 similaritygated setfitappliedinterviewrejectedneeds-reviewin","in .04 .43 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",3762,447,3060.5,762.9,3308.5,456.3,903.5,4037.5,-281.2,4220.5,1,729,2.57,1160,3.15,3509.3,2778.8,3853.8
29,4,"p.kicker","¶ 05 · second station — 12:06","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",4477,19,3748.5,720.1,3867.5,611.2,630.2,4472.5,0.2,4538.5,1,605,2.41,790,2.65,4010.3,3853.8,4928.8
30,4,"h2","Cadence.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",4514,46,3804.5,718.3,3940.5,578.3,623.9,4535.5,-33.7,4604.5,1,595,2.39,800,2.67,4060.8,3853.8,4928.8
31,4,"p.bright","Plans, the way you’d say them out loud.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",4577,26,3882.5,701.5,4021.5,559,585,4579.5,-12.5,4645.5,1,558,2.34,763,2.62,4113.8,3853.8,4928.8
32,4,"p.mutedln","Type a sentence; it becomes the event — attendees, Meet link and all","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",4611,57,3935.5,681,4080.5,533.5,590.5,4643.5,-41.5,4712.5,1,563,2.35,777,2.64,4163.3,3853.8,4928.8
33,4,"p.prov.mono","1,145 automated tests — 634 frontend + 511 backend 4-stage parse — c","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",4690,95,4016.5,675,4132.5,559.4,654.3,4663.5,22.4,4793.5,1,531,2.31,777,2.64,4261.3,3853.8,4928.8
34,4,"p.handoff","↳ the committed plan lands in the case file ↗ · source ↗ · live buil","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",4803,34,4040.5,764.2,4114.5,690.3,724.8,4766.5,32.8,4847.5,1,652,2.47,807,2.68,4343.8,3853.8,4928.8
35,4,"figure.plate","“lunch with Sam next Tuesday at noon, add a Meet.” motuwethfrsasu sa","in .04 .43 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",4863,395,4159.5,763.3,4409.5,456.4,851.7,5093.5,-236.1,5268.5,1,684,0.91,1109,3.08,4584.3,3853.8,4928.8
36,5,"p.kicker","¶ 06 · third station — 15:23","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",5493,19,4764.5,720.2,4883.5,611.3,630.3,5488.5,0.3,5554.5,1,605,2.41,790,2.65,5026.3,4928.8,6003.8
37,5,"h2","Glyph.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",5530,46,4820.5,718.4,4956.5,578.4,624,5551.5,-33.6,5620.5,1,595,2.39,800,2.67,5076.8,4928.8,6003.8
38,5,"p.bright","No frameworks. Just math, memory, and C++.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",5593,26,4898.5,701.6,5037.5,559.1,585.1,5595.5,-12.4,5661.5,1,558,2.34,763,2.62,5129.8,4928.8,6003.8
39,5,"p.mutedln","The network below is awake in this tab — 45.9 KB of WebAssembly, no ","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",5627,57,4951.5,681.1,5096.5,533.6,590.6,5659.5,-41.4,5728.5,1,563,2.35,777,2.64,5179.3,4928.8,6003.8
40,5,"p.prov.mono","97.01% on the 10,000-image mnist test set — 9,701/10,000 · macro-f1 ","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",5706,71,5029.5,678.4,5142.5,565.5,636.6,5658.5,43.5,5784.5,1,516,2.29,755,2.61,5265.3,4928.8,6003.8
41,5,"p.handoff","↳ your sample’s reader lands in the case file ↗ · source ↗ · live bu","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",5795,34,5032.5,764.5,5106.5,690.7,725.2,5758.5,33.2,5839.5,1,652,2.47,807,2.68,5335.8,4928.8,6003.8
42,5,"figure.plate","draw a digit 0–9— the run needs a sample ● awake · local clear input","in .04 .48 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",5855,537,5156.5,763.6,5402.5,455.9,993.1,6207.5,-357.8,6404.5,1,805,2.67,1248,3.26,5647.3,4928.8,6003.8
43,6,"p.kicker","¶ 07 · fourth station — 19:36","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",6526,19,5797.5,720.5,5916.5,611.6,630.6,6521.5,0.6,6587.5,1,605,0.81,790,2.65,6059.3,6003.8,7127.8
44,6,"h2","jetpack-compress.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",6563,46,5853.5,718.7,5989.5,578.7,624.3,6584.5,-33.3,6653.5,1,595,2.39,800,2.67,6109.8,6003.8,7127.8
45,6,"p.bright","One gzip stream, many virtual threads.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",6626,26,5931.5,701.8,6070.5,559.3,585.3,6628.5,-12.2,6694.5,1,558,2.34,763,2.62,6162.8,6003.8,7127.8
46,6,"p.mutedln","The stream splits, the threads compress in parallel, and the lanes s","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",6660,57,5984.5,681.3,6129.5,533.8,590.8,6692.5,-41.2,6761.5,1,563,2.35,777,2.64,6212.3,6003.8,7127.8
47,6,"p.prov.mono","6.5× single-threaded java.util.zip — 455 vs 66 mb/s (99% ci bound; p","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",6739,95,6065.5,675.3,6181.5,559.7,654.6,6712.5,22.7,6842.5,1,531,2.31,777,2.64,6310.3,6003.8,7127.8
48,6,"div.gzrow","gzip a sample in this tab","in .05 .19 y 4 s .97 | out .88 1.02 y -4 s .985 | drift 12",6848,32,6126.5,758,6220.5,632.5,664.5,6795.5,47.5,6889.5,1,575,2.37,763,2.62,6387.8,6003.8,7127.8
49,6,"p.mono","browser gzip on this page’s own html — an illustration, not jetpack’","in .03 .12 y 3 | out .9 1.02 y -3 s .985 | drift 10",6888,18,6147.5,768.5,6206.5,686.5,705,6837.5,46,6916.5,1,631,2.44,769,2.63,6420.8,6003.8,7127.8
50,6,"p.handoff","↳ the member lands in the readme @ af2c4b1 ↗ · source ↗ · live build","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",6925,34,6162.5,764.4,6236.5,690.6,725,6888.5,33.1,6969.5,1,652,2.47,807,2.68,6465.8,6003.8,7127.8
51,6,"figure.plate","byte streamdeflateone gzip membervt-0vt-1vt-2vt-3member header ⟶ sti","in .04 .47 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",6985,573,6287.5,763.8,6532.5,455.7,1029.2,7368.5,-388.9,7570.5,1,836,2.71,1283,3.31,6795.3,6003.8,7127.8
52,7,"p.kicker","¶ 08 · the honest hour — 21:07","in .05 .28 s 1.05 r 1.2 | out .48 .58 y 4 s .97 | drift 6",7651,19,6897.5,745.1,6994.5,657.7,676.7,,,,1,,,6007.5,14.41,7184.3,7128.8,9120.8
53,7,"h2.prose-h","LifeQuest. A prototype, told honestly.","in .07 .32 y 5 | out .48 .58 y 4 s .985 | drift 14",7688,43,6934.5,796.8,7031.5,661.3,704.7,,,,1,,,5970.5,14.36,7233.3,7128.8,9120.8
54,7,"p.mutedln","Job-seeking turned into missions so momentum survives the grind — a ","in .1 .36 y 5 | out .48 .58 y 4 s .985 | drift 12",7741,114,6988.5,795.3,7101.5,643.8,757.8,,,,1,,,5916.5,14.29,7321.8,7128.8,9120.8
55,7,"div.quests","01—mission card — playable… 02—tier ladder — working… 03—full-stack ","in .12 .38 y 6 s .97 | out .48 .58 y 4 s .985 | drift 10",7887,221,7208.5,730.1,7350.5,539.3,760.7,,,,1,,,5696.5,14,7521.3,7128.8,9120.8
56,7,"p.handoff","↳ no case file — a prototype has nothing to argue yet · source ↗ · l","in .14 .4 s 1.04 | out .48 .58 y 4 s .97 | drift 6",8126,34,7372.5,754.6,7469.5,657.3,691.7,,,,1,,,5532.5,13.78,7666.8,7128.8,9120.8
57,7,"p.mono","dusk. the light is the record: what shipped is lit, what didn’t stay","in .84 .95 y 4 | out 2 2.5 | drift 0",8935,21,8562.5,401.7,8665.5,269.2,289.8,,,,1,,,4342.5,10.59,8469.3,7128.8,9120.8
58,7,"figure.plate.bare","mission card✓tier ladder✓backend✓scaleheldfinishedheld fig. 08 — the","in .08 .34 y 6 s .96 t 4 | out .48 .58 y 4 s .985 | drift 9",8981,571,8399.5,645.1,8541.5,442,1012.6,8846.5,134.4,9000.5,1,305,0.41,601,0.8,8790.3,7128.8,9120.8
59,8,"p.kicker","¶ 09 · last station — 22:05","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",9643,19,8914.5,720,9033.5,611.1,630.1,9638.5,0.1,9704.5,1,605,0.81,790,2.65,9176.3,9120.8,10248.8
60,8,"h2","Agentic AutoML.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",9680,46,8970.5,718.2,9106.5,578.2,623.8,9701.5,-33.8,9770.5,1,595,2.39,800,2.67,9226.8,9120.8,10248.8
61,8,"p.bright","It runs the whole lifecycle — and refuses to finish alone.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",9743,26,9048.5,701.4,9187.5,558.9,584.9,9745.5,-12.6,9811.5,1,558,2.34,763,2.62,9279.8,9120.8,10248.8
62,8,"p.mutedln","The senior-design flagship: a LangGraph agent that works a notebook ","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",9777,114,9108.5,673.9,9263.5,516.4,630.4,9864.5,-96.6,9938.5,1,601,2.4,830,2.71,9357.8,9120.8,10248.8
63,8,"p.prov.mono","seven phases mirror the ml lifecycle · a human gate at every step 12","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",9913,95,9239.5,674.8,9355.5,559.3,654.1,9886.5,22.3,10016.5,1,531,2.31,777,2.64,9484.3,9120.8,10248.8
64,8,"p.mono","no accuracy figure is quoted here because none is claimed — the work","in .03 .12 y 3 | out .9 1.02 y -3 s .985 | drift 10",10016,74,9277.5,765.6,9341.5,678.6,752.6,10016.5,-5.9,10100.5,1,675,2.5,823,2.7,9576.8,9120.8,10248.8
65,8,"p.handoff","↳ the halted run lands in the case file ↗ · the repo, public — gpl-3","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",10108,34,9345.5,764,9419.5,690.2,724.6,10071.5,32.7,10152.5,1,652,2.47,807,2.68,9648.8,9120.8,10248.8
66,8,"figure.plate","langgraph supervisoragentic core · gpt-5.4mcp registry ×12list_proje","in .04 .46 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",10168,511,9468.5,763.1,9715.5,455.3,966.2,10498.5,-336.3,10691.5,1,783,1.04,1223,3.23,9947.3,9120.8,10248.8
67,9,"p.kicker","¶ 10 · the review — 22:23","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",10860,19,10131.5,720.1,10250.5,611.2,630.2,10855.5,0.2,10921.5,1,605,2.41,790,2.65,10393.3,10248.8,11323.8
68,9,"h2","How I work.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",10897,46,10187.5,718.3,10323.5,578.3,623.8,10918.5,-33.8,10987.5,1,595,2.39,800,2.67,10443.8,10248.8,11323.8
69,9,"p.mutedln","The run is nearly in. Before the gate, the discipline that drove it ","in .08 .29 x -6 | out .96 1.06 y -4 s .985 | drift 16",10950,57,10258.5,697.8,10403.5,549.8,606.8,10982.5,-41.2,11051.5,1,579,2.37,793,2.66,10502.3,10248.8,11323.8
70,9,"div.litany","Make it learn. 271 backend tests — jobtracker validation ledger ↗ Ma","in .09 .28 y 5 s .97 | out .96 1.06 y -4 s .985 | drift 14",11033,240,10367.5,712,10527.5,509.4,749.5,11243.5,-218.6,11327.5,1,716,2.55,960,2.88,10676.8,10248.8,11323.8
71,9,"figure.plate","the reviewer’s marksthree real gates · dispositions honest classifie","in .04 .44 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",11298,366,10593.5,764,10844.5,457.1,823,11503.5,-210.4,11674.5,1,659,0.88,1081,3.04,11004.8,10248.8,11323.8
72,10,"p.kicker","¶ 11 · the approval gate — 22:41","in .04 .26 s 1.05 r -1.2 | out 2 2.5 | drift 0",11861,19,11134.5,715.7,11279.5,581.3,600.3,,,,1,,,1770.5,3.96,11394.3,11323.8,12889.8
73,10,"h2","Every pipeline I build ends with a human decision.","in .06 .3 y 5 | out 2 2.5 | drift 0",11898,97,11194.5,740.9,11367.5,530.9,628.2,,,,1,,,1710.5,3.88,11470.3,11323.8,12889.8
74,10,"p.mutedln","This one ends with yours.","in .09 .34 y 5 | out 2 2.5 | drift 0",12006,30,11321.5,722.4,11488.5,518.4,548.8,,,,1,,,1583.5,3.71,11544.8,11323.8,12889.8
75,10,"ul.ladder","06:12 · the start 06:58 · who 07:52 · the yard 08:47 · applied 12:06","in .12 .4 y 6 s .97 | out 2 2.5 | drift 0",12068,374,11449.5,669.9,11623.5,446.3,820.1,,,,1,,,1455.5,3.54,11778.8,11323.8,12889.8
76,10,"p.mono","the run token you have been following halts here. it will wait as lo","in .2 .48 y 4 | out 2 2.5 | drift 0",12468,62,11876.5,621.7,12026.5,442.2,504,,,,1,,,1028.5,2.97,12022.8,11323.8,12889.8
77,10,"div.gatecard","run 042 — the manifest, complete. one day · eleven stops · six stati","in .1 .4 y 10 s .975 | out 2 2.5 | drift 0",12562,454,11929.5,713.6,12116.5,447,901.1,,,,1,,,975.5,2.9,12312.8,11323.8,12889.8
78,10,"footer","end of scroll, not of story · © 2026 ayush yadav — cincinnati, oh · ","in .06 .24 y 5 | out 2 2.5 | drift 0",13108,196,12408.5,737.2,12553.5,555.2,751.5,,,,1,,,496.5,0.66,12729.8,11323.8,12889.8
