i,beat,label,text,decl,top,h,eStartY,eStartTop,eDoneY,eDoneTop,eDoneBot,xStartY,xStartTop,goneY,peak,dwellPx,dwellS,lifePx,lifeS,yDue,beatStart,beatEnd
25,3,"p.mutedln","Applied reads it — on a device you control, and defers to you when i","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",4043,57,3250.5,798.1,3418.5,627.6,684.6,4071.5,-37.4,4151.5,1,653,2.47,901,2.8,3513.5,2988,4140
26,3,"p.prov.mono","201 regex rules ⟶ e5 embeddings ⟶ fine-tuned setfit macro-f1 0.9791 ","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",4123,190,3342.5,779.6,3488.5,635.5,825.2,4158.5,-40.5,4323.5,1,670,2.49,981,2.91,3660,2988,4140
27,3,"p.handoff","↳ the sorted mail lands in the case file ↗ · source ↗ · live build ↗","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",4330,57,3436.5,894.7,3524.5,807.3,864.8,4303.5,22.3,4399.5,1,779,2.64,963,2.88,3800.5,2988,4140
28,3,"figure.plate","rulese5 similaritygated setfitappliedinterviewrejectedneeds-reviewin","in .04 .43 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",3900,444,3074.5,894.8,3368.5,534.4,978.7,4154.5,-260.7,4356.5,1,786,2.65,1282,3.31,3564,2988,4140
29,4,"p.kicker","¶ 05 · second station — 12:06","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",5002,19,4148.5,849.4,4287.5,715.6,734.6,4993.5,3.6,5070.5,1,706,2.54,922,2.83,4453.5,4140,5292
30,4,"h2","Cadence.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",5039,58,4207.5,839.7,4368.5,674.7,732.4,5068.5,-42.3,5148.5,1,700,2.53,941,2.85,4510,4140,5292
31,4,"p.bright","Plans, the way you’d say them out loud.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",5114,33,4300.5,820,4464.5,652.5,685.7,5119.5,-16,5197.5,1,655,2.47,897,2.8,4572.5,4140,5292
32,4,"p.mutedln","Type a sentence; it becomes the event — attendees, Meet link and all","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",5155,57,4362.5,797.7,4530.5,627.2,684.2,5183.5,-37.8,5263.5,1,653,2.47,901,2.8,4625.5,4140,5292
33,4,"p.prov.mono","1,145 automated tests — 634 frontend + 511 backend 4-stage parse — c","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",5235,237,4459.5,773.6,4611.5,624.1,861.3,5311.5,-81.9,5482.5,1,700,2.53,1023,2.96,4795.5,4140,5292
34,4,"p.handoff","↳ the committed plan lands in the case file ↗ · source ↗ · live buil","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",5489,57,4595.5,894.8,4683.5,807.4,864.9,5462.5,22.4,5558.5,1,779,2.64,963,2.88,4959.5,4140,5292
35,4,"figure.plate","“lunch with Sam next Tuesday at noon, add a Meet.” motuwethfrsasu sa","in .04 .43 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",5072,406,4245.5,893.9,4540.5,533.8,939.3,5293.5,-227.8,5490.5,1,753,2.6,1245,3.26,4717,4140,5292
36,5,"p.kicker","¶ 06 · third station — 15:23","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",6275,19,5421.5,850.2,5560.5,715.4,734.4,6266.5,3.4,6343.5,1,706,2.54,922,2.83,5726.5,5292,6624
37,5,"h2","Glyph.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",6312,58,5480.5,839.5,5641.5,674.5,732.2,6341.5,-42.5,6421.5,1,700,2.53,941,2.85,5783,5292,6624
38,5,"p.bright","No frameworks. Just math, memory, and C++.","in .08 .29 x -7 | out .96 1.06 y -4 s .985 | drift 18",6387,67,5576.5,816.8,5746.5,643.3,709.8,6425.5,-49.2,6506.5,1,679,2.51,930,2.84,5862.5,5292,6624
39,5,"p.mutedln","The network below is awake in this tab — 45.9 KB of WebAssembly, no ","in .1 .31 x -6 | out .96 1.06 y -4 s .985 | drift 16",6461,57,5668.5,797.8,5836.5,627.3,684.3,6489.5,-37.7,6569.5,1,653,2.47,901,2.8,5931.5,5292,6624
40,5,"p.prov.mono","97.01% on the 10,000-image mnist test set — 9,701/10,000 · macro-f1 ","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",6541,142,5755.5,785.1,5894.5,647.2,789.5,6535.5,0.2,6692.5,1,641,2.45,937,2.85,6054,5292,6624
41,5,"p.handoff","↳ your sample’s reader lands in the case file ↗ · source ↗ · live bu","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",6701,57,5807.5,893.9,5895.5,806.6,864,6674.5,21.6,6770.5,1,779,2.64,963,2.88,6171.5,5292,6624
42,5,"figure.plate","draw a digit 0–9— the run needs a sample ● awake · local clear input","in .04 .48 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",6250,533,5427.5,894.6,5718.5,534.6,1067.6,6580.5,-336.5,6796.5,1,862,2.75,1369,3.43,5958.5,5292,6624
43,6,"p.kicker","¶ 07 · fourth station — 19:36","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",7452,19,6598.5,849.6,6737.5,715.8,734.8,7443.5,3.8,7520.5,1,706,2.54,922,2.83,6903.5,6624,7776
44,6,"h2","jetpack-compress.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",7489,58,6657.5,839.9,6818.5,674.9,732.6,7518.5,-42.1,7598.5,1,700,2.53,941,2.85,6960,6624,7776
45,6,"p.bright","One gzip stream, many virtual threads.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",7564,33,6750.5,820.2,6914.5,652.7,685.9,7569.5,-15.8,7647.5,1,655,2.47,897,2.8,7022.5,6624,7776
46,6,"p.mutedln","The stream splits, the threads compress in parallel, and the lanes s","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",7605,57,6812.5,797.9,6980.5,627.4,684.4,7633.5,-37.6,7713.5,1,653,2.47,901,2.8,7075.5,6624,7776
47,6,"p.prov.mono","6.5× single-threaded java.util.zip — 455 vs 66 mb/s (99% ci bound; p","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",7685,213,6906.5,777.1,7055.5,630.3,843.8,7740.5,-60.7,7908.5,1,685,2.51,1002,2.94,7233.5,6624,7776
48,6,"div.gzrow","gzip a sample in this tab","in .05 .19 y 4 s .97 | out .88 1.02 y -4 s .985 | drift 12",7912,32,7066.5,886.7,7175.5,741.2,773.2,7845.5,60.2,7954.5,1,670,2.49,888,2.78,7370,6624,7776
49,6,"p.mono","browser gzip on this page’s own html — an illustration, not jetpack’","in .03 .12 y 3 | out .9 1.02 y -3 s .985 | drift 10",7952,37,7085.5,897.7,7155.5,800.7,837.6,7906.5,40.2,8001.5,1,751,2.6,916,2.82,7412.5,6624,7776
50,6,"p.handoff","↳ the member lands in the readme @ af2c4b1 ↗ · source ↗ · live build","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",8007,57,7113.5,894.6,7201.5,807.2,864.7,7980.5,22.2,8076.5,1,779,1.04,963,2.88,7477.5,6624,7776
51,6,"figure.plate","byte streamdeflateone gzip membervt-0vt-1vt-2vt-3member header ⟶ sti","in .04 .47 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",7472,572,6651.5,894.7,6941.5,534.2,1106,7835.5,-368.9,8057.5,1,894,2.79,1406,3.47,7200,6624,7776
52,7,"p.kicker","¶ 08 · the honest hour — 21:07","in .05 .28 s 1.05 r 1.2 | out .48 .58 y 4 s .97 | drift 6",8388,19,7503.5,881.2,7617.5,772,791,,,,1,,,5228.5,13.37,7839.5,7776,9294
53,7,"h2.prose-h","LifeQuest. A prototype, told honestly.","in .07 .32 y 5 | out .48 .58 y 4 s .985 | drift 14",8425,105,7540.5,935.1,7654.5,776.1,881.2,,,,1,,,5191.5,13.32,7919.5,7776,9294
54,7,"p.mutedln","Job-seeking turned into missions so momentum survives the grind — a ","in .1 .36 y 5 | out .48 .58 y 4 s .985 | drift 12",8539,143,7656.5,932.8,7793.5,750.8,893.3,8533.5,2.3,8714.5,1,740,0.99,1058,3.01,8052.5,7776,9294
55,7,"div.quests","01—mission card — playable… 02—tier ladder — working… 03—full-stack ","in .12 .38 y 6 s .97 | out .48 .58 y 4 s .985 | drift 10",8714,221,7876.5,898.1,8042.5,675.3,896.7,8533.5,179.3,8714.5,1,491,0.65,838,2.72,8266.5,7776,9294
56,7,"p.handoff","↳ no case file — a prototype has nothing to argue yet · source ↗ · l","in .14 .4 s 1.04 | out .48 .58 y 4 s .97 | drift 6",8953,57,8068.5,885.6,8182.5,771.8,829.3,8533.5,419.8,8714.5,1,351,0.47,646,2.46,8423.5,7776,9294
57,7,"p.mono","dusk. the light is the record: what shipped is lit, what didn’t stay","in .84 .95 y 4 | out 2 2.5 | drift 0",9508,41,9068.5,474.2,9189.5,318.7,359.9,,,,1,,,3663.5,9.68,8970.5,7776,9294
58,7,"figure.plate.bare","mission card✓tier ladder✓backend✓scaleheldfinishedheld fig. 08 — the","in .08 .34 y 6 s .96 t 4 | out .48 .58 y 4 s .985 | drift 9",8388,595,7706.5,754,7872.5,518.6,1113.4,8533.5,-146.5,8714.5,1,661,0.88,1008,2.94,8127.5,7776,9294
59,8,"p.kicker","¶ 09 · last station — 22:05","in .04 .22 s 1.05 r 1.2 | out .96 1.06 y -4 s .97 | drift 6",10106,19,9252.5,849.3,9391.5,715.5,734.5,10097.5,3.5,10174.5,1,706,2.54,922,2.83,9557.5,9294,10518
60,8,"h2","Agentic AutoML.","in .06 .26 x 9 | out .96 1.06 y -4 s .985 | drift 22",10143,58,9311.5,839.6,9472.5,674.6,732.3,10172.5,-42.4,10252.5,1,700,2.53,941,2.85,9614,9294,10518
61,8,"p.bright","It runs the whole lifecycle — and refuses to finish alone.","in .08 .29 x 7 | out .96 1.06 y -4 s .985 | drift 18",10218,67,9407.5,816.9,9577.5,643.4,709.9,10256.5,-49.1,10337.5,1,679,2.51,930,2.84,9693.5,9294,10518
62,8,"p.mutedln","The senior-design flagship: a LangGraph agent that works a notebook ","in .1 .31 x 6 | out .96 1.06 y -4 s .985 | drift 16",10292,114,9505.5,791.9,9684.5,610.4,724.4,10375.5,-92.6,10460.5,1,691,2.52,955,2.87,9791,9294,10518
63,8,"p.prov.mono","seven phases mirror the ml lifecycle · a human gate at every step 12","in .1 .26 s 1.03 | out .84 1.02 y -4 s .985 | drift 8",10429,237,9653.5,773.7,9805.5,624.3,861.5,10505.5,-81.7,10676.5,1,700,2.53,1023,2.96,9989.5,9294,10518
64,8,"p.mono","no accuracy figure is quoted here because none is claimed — the work","in .03 .12 y 3 | out .9 1.02 y -3 s .985 | drift 10",10674,74,9808.5,896,9881.5,796,869.9,10662.5,5.5,10760.5,1,781,2.64,952,2.87,10153,9294,10518
65,8,"p.handoff","↳ the halted run lands in the case file ↗ · the repo, public — gpl-3","in .0 .11 s 1.04 | out .9 1.02 y -3 s .985 | drift 6",10765,57,9871.5,894.9,9959.5,807.5,865,10738.5,22.5,10834.5,1,779,1.04,963,2.88,10235.5,9294,10518
66,8,"figure.plate","langgraph supervisoragentic core · gpt-5.4mcp registry ×12list_proje","in .04 .46 x -10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",10211,506,9387.5,894.9,9679.5,534.4,1040.8,10518.5,-313.2,10730.5,1,839,2.72,1343,3.39,9906,9294,10518
67,9,"p.kicker","¶ 10 · the review — 22:23","in .04 .22 s 1.05 r -1.2 | out .96 1.06 y -4 s .97 | drift 6",11419,19,10565.5,849.3,10704.5,715.5,734.5,11410.5,3.5,11487.5,1,706,2.54,922,2.83,10870.5,10518,11652
68,9,"h2","How I work.","in .06 .26 x -9 | out .96 1.06 y -4 s .985 | drift 22",11456,58,10624.5,839.6,10785.5,674.6,732.3,11485.5,-42.4,11565.5,1,700,2.53,941,2.85,10927,10518,11652
69,9,"p.mutedln","The run is nearly in. Before the gate, the discipline that drove it ","in .08 .29 x -6 | out .96 1.06 y -4 s .985 | drift 16",11521,57,10709.5,817.3,10877.5,646.3,703.3,11549.5,-37.7,11629.5,1,672,2.5,920,2.83,10991.5,10518,11652
70,9,"div.litany","Make it learn. 271 backend tests — jobtracker validation ledger ↗ Ma","in .09 .28 y 5 s .97 | out .96 1.06 y -4 s .985 | drift 14",11604,264,10821.5,835.3,11006.5,600.9,865,11833.5,-238.6,11930.5,1,827,2.7,1109,3.08,11178,10518,11652
71,9,"figure.plate","the reviewer’s marksthree real gates · dispositions honest classifie","in .04 .44 x 10 y 6 s .955 t 4 | out .84 1.02 y -7 s .985 | drift 9",11455,376,10626.5,895.7,10923.5,534.5,910.6,11650.5,-201,11842.5,1,727,2.57,1216,3.22,11085,10518,11652
72,10,"p.kicker","¶ 11 · the approval gate — 22:41","in .04 .26 s 1.05 r -1.2 | out 2 2.5 | drift 0",12355,19,11503.5,846,11672.5,682.1,701.1,,,,1,,,1228.5,3.24,11806.5,11652,12714
73,10,"h2","Every pipeline I build ends with a human decision.","in .06 .3 y 5 | out 2 2.5 | drift 0",12392,181,11572.5,863.2,11789.5,603.2,784.6,,,,1,,,1159.5,3.15,11924.5,11652,12714
74,10,"p.mutedln","This one ends with yours.","in .09 .34 y 5 | out 2 2.5 | drift 0",12584,30,11781.5,846.8,11976.5,608.8,639.1,,,,1,,,950.5,2.87,12041,11652,12714
75,10,"ul.ladder","06:12 · the start 06:58 · who 07:52 · the yard 08:47 · applied 12:06","in .12 .4 y 6 s .97 | out 2 2.5 | drift 0",12647,374,11914.5,790.7,12125.5,522.1,895.9,,,,1,,,817.5,2.69,12276,11652,12714
76,10,"p.mono","the run token you have been following halts here. it will wait as lo","in .2 .48 y 4 | out 2 2.5 | drift 0",13046,62,12350.5,730.5,12528.5,518,579.8,,,,1,,,381.5,0.51,12519,11652,12714
77,10,"div.gatecard","run 042 — the manifest, complete. one day · eleven stops · six stati","in .1 .4 y 10 s .975 | out 2 2.5 | drift 0",12355,468,11607.5,841.9,11832.5,524.6,992.1,,,,1,,,1124.5,3.1,12031,11652,12714
78,10,"footer","end of scroll, not of story · © 2026 ayush yadav — cincinnati, oh · ","in .06 .24 y 5 | out 2 2.5 | drift 0",12931,196,12108.5,866.1,12273.5,658.1,854.4,,,,1,,,623.5,2.43,12471,11652,12714
